City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
30,kaitangata,NZ,-46.2817,169.8464,52.05,66,29,6.91,scattered clouds,0.0,0.0
31,kloulklubed,PW,7.0419,134.2556,83.25,79,100,18.25,heavy intensity rain,4.86,0.0
32,pacific grove,US,36.6177,-121.9166,63.39,61,0,11.5,clear sky,0.0,0.0
33,sri aman,MY,1.2376,111.4621,77.05,94,86,0.0,overcast clouds,0.0,0.0
34,yar-sale,RU,66.8333,70.8333,33.19,100,100,2.8,overcast clouds,0.0,0.0
35,sulangan,PH,11.1373,123.7228,81.36,73,100,6.31,overcast clouds,0.0,0.0
36,puerto carreno,CO,6.189,-67.4859,94.98,41,20,6.91,few clouds,0.0,0.0
37,kruisfontein,ZA,-34.0033,24.7314,58.89,81,84,9.44,broken clouds,0.0,0.0
38,rikitea,PF,-23.1203,-134.9692,78.21,69,9,15.05,light rain,0.38,0.0
39,mar del plata,AR,-38.0023,-57.5575,60.1,72,0,5.99,clear sky,0.0,0.0
40,cayenne,GF,4.9333,-52.3333,81.09,1,75,8.01,broken clouds,0.0,0.0
41,saint-pierre,RE,-21.3393,55.4781,74.88,88,100,11.5,overcast clouds,0.0,0.0
42,tasiilaq,GL,65.6145,-37.6368,26.76,82,100,5.03,overcast clouds,0.0,0.0
43,nikolskoye,RU,59.7035,30.7861,36.81,93,92,2.59,overcast clouds,0.0,0.0
44,naze,JP,28.3667,129.4833,70.72,90,49,10.67,scattered clouds,0.0,0.0
45,havre-saint-pierre,CA,50.2334,-63.5986,35.96,87,100,2.3,overcast clouds,0.0,0.0
46,ambon,ID,-3.6954,128.1814,77.14,88,40,3.44,scattered clouds,0.0,0.0
47,pevek,RU,69.7008,170.3133,2.44,87,70,3.0,broken clouds,0.0,0.0
48,qaanaaq,GL,77.484,-69.3632,0.77,93,100,7.23,overcast clouds,0.0,0.0
49,adrar,MR,20.5022,-10.0711,76.19,14,0,12.59,clear sky,0.0,0.0
50,caucaia,BR,-3.7361,-38.6531,82.35,76,20,4.61,few clouds,0.0,0.0
51,jalu,LY,29.0331,21.5482,68.04,22,52,18.72,broken clouds,0.0,0.0
52,hualmay,PE,-11.0964,-77.6139,69.82,75,15,11.12,few clouds,0.0,0.0
53,davila,PH,18.4726,120.5763,75.18,81,32,3.6,scattered clouds,0.0,0.0
54,abha,SA,18.2164,42.5053,64.22,32,0,0.0,clear sky,0.0,0.0
55,hobyo,SO,5.3505,48.5268,81.95,74,82,13.65,broken clouds,0.0,0.0
56,labuhan,ID,-6.8844,112.2051,76.8,87,56,6.4,broken clouds,0.0,0.0
57,georgetown,MY,5.4112,100.3354,78.73,89,20,0.0,few clouds,0.0,0.0
58,sao filipe,CV,14.8961,-24.4956,70.99,78,5,9.62,clear sky,0.0,0.0
59,bluff,NZ,-46.6,168.3333,52.81,74,74,14.81,broken clouds,0.0,0.0
60,new norfolk,AU,-42.7826,147.0587,51.93,73,100,2.8,overcast clouds,0.0,0.0
